web-scraper-order,web-scraper-start-url,rooms_area_price_raw,address_raw,price_raw,description_raw,text_raw
"1663867475-1","https://www.immoscout24.ch/en/flat/rent/city-adliswil","3.5 rooms, 91 m², CHF 2110.—","Rütistrasse 62, 8134 Adliswil, ZH","CHF 2110.—","«Moderne Wohnung mit Balkon»","top3.5 rooms, 91 m², CHF 2110.—Rütistrasse 62, 8134 Adliswil, ZH«Moderne Wohnung mit Balkon»Wir vermieten per 01.02.2023 diese moderne und helle 3.5-Zimmerwohnung.Die Wohnung bietet Ihnen folgende Highlights:Wohn- und Schlafzimmer mit ParkettbodenBadezimmer und Küche mit pflegeleichtem PlattenbodenGrosszügige und helle RäumeModerne, helle Küche mit grosszügiger Ablagefläche, Glaskeramikherd, Backofen auf Sichthöhe und Stauraum für Ihre KüchenutensilienBadezimmer mit WC, Lavabo, Spiegelschrank, Badewanne und TageslichtEingangsbereich mit praktischen EinbauschränkenGemütlicher Balkon zum VerweilenEigenes Kellerabteil im UntergeschossWasNewContact the advertiserContact"
"1663867475-2","https://www.immoscout24.ch/en/flat/rent/city-adliswil","2.5 rooms, 59 m², CHF 1815.—","Tiefackerstrasse 20, 8134 Adliswil, ZH","CHF 1815.—","«WOHNEN MIT STIL IN ADLISWIL»","2.5 rooms, 59 m², CHF 1815.—Tiefackerstrasse 20, 8134 Adliswil, ZH«WOHNEN MIT STIL IN ADLISWIL»Per 01.12.2022 vermieten wir in dieser im Jahr 2016 erstellten Liegenschaft eine 2.5 Zimmerwohnung:Die lichtdurchflutete, 59 m2 grosse Wohnung bietet Ihnen genügend Platz.Die Wohnung verfügt über:Edlen Parkettboden in sämtliche Räume ausgenommen vom Badezimmer Plattenboden im Badezimmerein Badezimmer, welches mit Badewanne ausgestattet ist sowie eine separate Gästetoilettemoderne Küche mit Geschirrspüler, Glaskeramik Herd, Kühlschrank12m2 grosszügigen Loggia KellerabteilBei Bedarf kann ein Einstellplatz für monatlich CHF 130.00 dazugemietet werNewContact the advertiserContact"
"1663867475-3","https://www.immoscout24.ch/en/flat/rent/city-adliswil","3.5 rooms, 65 m², CHF 1715.—","Sonnenbergstr. 42/44, 8134 Adliswil, ZH","CHF 1715.—","«Wohnung an ruhiger Lage»","3.5 rooms, 65 m², CHF 1715.—Sonnenbergstr. 42/44, 8134 Adliswil, ZH«Wohnung an ruhiger Lage»Diese Liegenschaft befindet sich an ruhiger, begrünter und sonniger Wohnlage. Diese 3.5-Zimmerwohnung an der Sonnenbergstrasse 42 bietet Ihnen zudem die folgende Ausstattung:- Einbauschränke im Entrée- sämtliche Wohnräume mit Parkettböden- grosszügiges und lichtdurchflutetes Wohnzimmer- moderne, offene Küche mit Platz für Esstisch- mit Granitabdeckung- mit Glaskeramikherd und Geschirrspüler- helles, modernes Bad/WC mit Fenster - grosszügiger, gemütlicher Balkon- Kellerabteil- kein LiftBei den Fotos handelt es sich um Musterbilder, welche den AuContact the advertiserContact"
"1663867475-4","https://www.immoscout24.ch/en/flat/rent/city-adliswil","4 rooms, 86 m², CHF 1996.—","Isengrundstrasse 12, 8134 Adliswil, ZH","CHF 1996.—","«Wohnen an zentraler und doch ruhiger Lage! - BEFRISTET BIS 30.06.2023»","4 rooms, 86 m², CHF 1996.—Isengrundstrasse 12, 8134 Adliswil, ZH«Wohnen an zentraler und doch ruhiger Lage! - BEFRISTET BIS 30.06.2023»Wir vermieten per 1. Oktober 2022 oder nach Vereinbarung diese charmante 4.0-Zimmerwohnung an ruhiger und begrünter Wohnlage. Dieses tolle Wohnobjekt bietet Ihnen nebst einer idealen Raumaufteilung die folgenden Annehmlichkeiten: - freundlicher Eingangsbereich mit Einbauschrank- drei helle Schlafzimmer mit Parkettboden- geräumiges Wohn-/Esszimmer mit Parkettboden- abschliessbare Küche mit Plattenbodenbelag- mit Elektroherd, Backofen und grossem Kühlschrank- Badezimmer/WC mit Lavabounterbau- Balkon- Kellerabteil- kein LiftBitte beachten Sie, dasContact the advertiserContact"
"1663867475-5","https://www.immoscout24.ch/en/flat/rent/city-adliswil","3.5 rooms, 85 m², CHF 2265.—","Albisstrasse 51, 8134 Adliswil, ZH","CHF 2265.—","«Erstbezug nach Totalsanierung - 3.5-Zimmerwohnung mit Blick ins Grüne»","3.5 rooms, 85 m², CHF 2265.—Albisstrasse 51, 8134 Adliswil, ZH«Erstbezug nach Totalsanierung - 3.5-Zimmerwohnung mit Blick ins Grüne»Ihre Wohlfühloase liegt uns am Herzen!Per 1. Dezember 2022 vermieten wir 8 totalsanierte 3.5-Zimmerwohnungen mit Blick ins Grüne.Die Wohnungen verfügen über die folgenden Besonderheiten:- Graue Küche mit hellen Abdeckungen inkl. Geschirrspüler- Heller Eichenparkett- Badezimmer mit grauen Natursteinplatten- Glasfaseranschluss- geräumige Zimmer- Balkone mit Sicht ins Grüne- Bodenheizung in allen RäumenIn der Liegenschaft werden total 8 Wohnungen (je zwei Wohnungen pro Etage) totalsaniert und warten auf ihre neuen Mieter.Aussenparkplätze können fü"
"1663867475-6","https://www.immoscout24.ch/en/flat/rent/city-adliswil","3.5 rooms, 78 m², CHF 2090.—","Bernhofstr. 65, 8134 Adliswil, ZH","CHF 2090.—","«Sonnige Terrasse mit Aussicht ins Grüne»","3.5 rooms, 78 m², CHF 2090.—Bernhofstr. 65, 8134 Adliswil, ZH«Sonnige Terrasse mit Aussicht ins Grüne»Wir vermieten per 01. Dezember 2022 oder nach Vereinbarung eine schöne 3.5 Zimmer Attikawohnung in Adliswils.Die Wohnung hat folgende Highlights zu bieten:- Grosse sonnige Terrasse mit Aussicht ins Grüne- Kleiner Balkon beim Wohnzimmer- Wohnzimmer, Korridor, Schlafzimmer und Galerie mit Parkett- Korridor mit Einbauschränken- Küche mit Glaskeramikkochfeld, Geschirrspüler und grossem Kühl- und Gefrierschrank- Garage /Abstellplatz kann für CHF 140.00/Monat CHF 60.00/Monat dazu gemietet werden**Bilder sind nicht objektspezifisch, der AusbaustandartContact the advertiserContact"
"1663867475-7","https://www.immoscout24.ch/en/flat/rent/city-adliswil","4.5 rooms, 87 m², CHF 2320.—","Rütistr. 28, 8134 Adliswil, ZH","CHF 2320.—","«Wohnen an ruhiger Lage - Nähe Wald»","4.5 rooms, 87 m², CHF 2320.—Rütistr. 28, 8134 Adliswil, ZH«Wohnen an ruhiger Lage - Nähe Wald»Wir vermieten diese sanierte Wohnung an ruhiger und grüner Wohnlage. Die Liegenschaft wurde im Dezember 2019 komplett renoviert.Die Wohnung besticht durch:Küche sowie Schlaf-/Wohnzimmer mit Parkettboden Küche mit Geschirrspüler und Steamer Badezimmer mit Badewanneseperates WC mit Anschluss für eine Waschmaschine Reduit sonniger BalkonKellerabteilBei Bedarf kann ein Einstellplatz für CHF 140.-/Mt. dazu gemietet werden.Eine Besichtigung lohnt sich! Wir freuen uns auf Ihre Kontaktaufnahme!**Bei den publizierten Bilder handelt es sich um eine typenContact the advertiserContact"
"1663867475-8","https://www.immoscout24.ch/en/flat/rent/city-adliswil","3.5 rooms, 78 m², CHF 2100.—","Bernhofstr. 58, 8134 Adliswil, ZH","CHF 2100.—","«Gemütliche Wohnung in grüner Umgebung»","3.5 rooms, 78 m², CHF 2100.—Bernhofstr. 58, 8134 Adliswil, ZH«Gemütliche Wohnung in grüner Umgebung»Wir vermieten per 16. Dezember 2022 eine zentral gelegene 3.5 Zimmer-Attikawohnung in Adliswil. Auf folgende Highlights dürfen Sie sich freuen: - Parkett in allen Räumen- Küche mit Granitabdeckung, Glaskeramikherd, Geschirrspüler, grosser Kühlschrank und Tiefkühler, Plattenboden- Modernes Badezimmer, elegant eingerichtet mit Plattenboden- Treppenaufgang im Wohnzimmer zur Galerie- Kellerabteil vorhanden- Sehr ruhige Lage im Grünen (Sackgasse)- Abstellplatz für CHF 60.-/Monat verfügbar**Bilder sind nicht objektspezifisch, der Ausbaustandart ist aContact the advertiserContact"
"1663867475-9","https://www.immoscout24.ch/en/flat/rent/city-adliswil","2.5 rooms, 70 m², CHF 1740.—","8134 Adliswil, ZH","CHF 1740.—","«MÖBLIERT, TEMPORÄR: 2½ ZI-WOHNUNG IN ADLISWIL (ZH)»","2.5 rooms, 70 m², CHF 1740.—8134 Adliswil, ZH«MÖBLIERT, TEMPORÄR: 2½ ZI-WOHNUNG IN ADLISWIL (ZH)»MIETDAUER ab 1. November 2022 bis 16. April 2023 (mind. 3 Monate, nach Absprache) Grosse Wohnung an zentraler Lage mit kompletter Ausstattung. 70m², 1 Schlafzimmer, in gutem Zustand, Wohnzimmer mit Parkett/Laminat, Schlafzimmer mit Parkett/Laminat, alle Wohnräume mit Linoleum. Maximal 2 Personen, Rauchen in der Wohnung nicht erlaubt. Direktlink: ums.ch/angebots-detail/57798/Alle Angebote: ums.ch/moeblierte-wohnungen/Ergänzende Bemerkungen zur Miete: Inkl. Heizung, Strom, Wasser, Internet, TV (inkl. Anschluss und Abo) Möblierung: Bügelbrett, Büg"
"1663867475-10","https://www.immoscout24.ch/en/flat/rent/city-adliswil","4.5 rooms, 115 m², CHF 3260.—","Libellenweg 5, 8134 Adliswil, ZH","CHF 3260.—","«Nur noch zwei freie 4.5-Zimmer-Wohnungen»","4.5 rooms, 115 m², CHF 3260.—Libellenweg 5, 8134 Adliswil, ZH«Nur noch zwei freie 4.5-Zimmer-Wohnungen»Geniessen Sie Lebensqualität  in einem Quartier mit toller Community, einladenden, grünen Innenhöfen  und relaxen Sie im schönen autofreien Quartierhain. Sie wohnen in grosszügigen urbanen Wohnungen mit idealer Raumaufteilung und hohem Ausbaustandard. Sie leben die Nachhaltigkeit am Bau durch Minergie-P Standard, Photovoltaikanlagen, Elektroparkplätze (vorbereitet) und kontrollierter Wohnungslüftung.Verweilen Sie in den Grünanlagen der Höfe oder geniessen Sie die Natur in der unmittelbaren Umgebung zum Spazieren oder für eine Sporteinheit. Auch"
"1663867475-11","https://www.immoscout24.ch/en/flat/rent/city-adliswil","3.5 rooms, 97 m², CHF 2830.—","Salamanderweg 8, 8134 Adliswil, ZH","CHF 2830.—","«Nur noch eine freie 3.5-Zimmer-Wohnung im Hummel»","3.5 rooms, 97 m², CHF 2830.—Salamanderweg 8, 8134 Adliswil, ZH«Nur noch eine freie 3.5-Zimmer-Wohnung im Hummel»Wohnen Sie in einem Quartier, in dem sich das Leben in einer tollen Community und auf vielfältige Weise geniessen lässt! Autofreie Zonen, die schön gestalteten Innenhöfe und der wunderbare Quartierhain schaffen Ruhe und traumhafte Erholungsorte direkt vor der eigenen Haustüre, das ist Lebensqualität. Das ist HÖFE:. Zeitlos schöne Architektur. Nachhaltigkeit (Minergie-P Standard, Photovoltaik mit eigenem Energiemanagement, Vorbereitung für Elektroparkplätze). Cityfeeling im Grünen (parkähnliche Anlage mit abenteuerlichen Spielplätzen und geselli"
"1663867475-12","https://www.immoscout24.ch/en/flat/rent/city-adliswil","2.5 rooms, 70 m², CHF 2150.—","Parkweg 10, 8134 Adliswil, ZH","CHF 2150.—","«Schwalbenhof- Wenige freie 2.5-Zimmer-Wohnungen»","2.5 rooms, 70 m², CHF 2150.—Parkweg 10, 8134 Adliswil, ZH«Schwalbenhof- Wenige freie 2.5-Zimmer-Wohnungen»Kommen Sie in den Genuss der exklusiven 2.5-Zimmer-Wohnungen im urbanen Quartier HÖFE in Adliswil. Mit einer einzigartigen Wohnqualität, modernen Grundrissen und einem aussergewöhnlichen Innenausbau finden Sie im Schwalbenhof Ihre Traumwohnung. Es erwarten Sie folgende Vorteile. Neubau/Erstbezug. Restaurants, Bars und viele weitere Angebote im Quartier. Parkplätze in der Tiefgarage vorhanden / Möglichkeit für Elektroparkplätze. Attraktive Architektur . Optimale Anbindung an den öffentlichen Verkehr . Freizeitaktivitäten finden Sie in der nähere"
"1663867475-13","https://www.immoscout24.ch/en/flat/rent/city-adliswil","4.5 rooms, 108 m², CHF 3160.—","Salamanderweg 3, 8134 Adliswil, ZH","CHF 3160.—","«HÖFE - Ihre neue Familienoase!»","4.5 rooms, 108 m², CHF 3160.—Salamanderweg 3, 8134 Adliswil, ZH«HÖFE - Ihre neue Familienoase!»Die 4½-Zimmer-Wohnungen im neuen Quartier HÖFE sind das perfekte Zuhause für Familien oder Paare, die Ruhe schätzen und dennoch die Nähe zum pulsierenden Leben suchen. Die exklusive Wohnqualität und die modernen Grundrisse, sind nur einige der zahlreichen Eigenschaften, die Ihnen der Schwalbenhof bietet. Die Highlights der 4.5 Zimmer-Wohnungen. Loggien mit Sicht auf den Innenhof oder Quartierhain, teilweise sogar zwei Loggien. Grosszügige, edle Küche mit hochwertigen Geräten der Marke Miele. Grosser offener Wohn-/Essbereich. Geräume Bäder mit 1"
"1663867475-14","https://www.immoscout24.ch/en/flat/rent/city-adliswil","3.5 rooms, 103 m², CHF 3040.—","Parkweg 8, 8134 Adliswil, ZH","CHF 3040.—","«HÖFE - Die Frische eines Erstbezugs geniessen»","3.5 rooms, 103 m², CHF 3040.—Parkweg 8, 8134 Adliswil, ZH«HÖFE - Die Frische eines Erstbezugs geniessen»Aussergewöhnlich leben, einzigartig wohnen: Im urbanen Quartier HÖFE verbindet sich beides auf höchstem Niveau. Eine phantastische City-ähnliche Lage sowie eine ausgezeichnete Infrastruktur - das ist Lebensqualität. Die grosszügigen 3.5-Zimmer-Wohnungen sind geprägt von hochwertiger Architektur und schlichter Eleganz. Folgende Highlights erwarten Sie in den Wohnungen:. Die Materialisierung ist schick, modern und in warmen Farbtönen gehalten. Grosszügige Balkone. Offene Küchen mit modernen Geräten der Marke Miele. Geräumige Bäder mit jeweils ein"
"1663867475-15","https://www.immoscout24.ch/en/flat/rent/city-adliswil","4.5 rooms, 105 m², CHF 2850.—","Kronenstrasse 3, 8134 Adliswil, ZH","CHF 2850.—","«Familienwohnung im Zentrum von Adliswil»","4.5 rooms, 105 m², CHF 2850.—Kronenstrasse 3, 8134 Adliswil, ZH«Familienwohnung im Zentrum von Adliswil»Wir vermieten per 01.10.2022 oder nach Vereinbarung eine attraktive Wohnung im Zentrum von Adliswil. Folgende Highlights überzeugen:- Offene Küche mit modernen Elektro-Geräte- Wohn- und Schlafbereich mit Parkettböden- Bad/WC mit Badewanne und Fenster- Separate Dusche/WC mit Fenster- Eigener Waschturm (Waschmaschine + Trockner)- Separtates Reduit- Sonniger Balkon- Einstellplätze können für monatlich CHF 160.00 dazugemietet werden**Bilder sind nicht objektspezifisch, der Ausbaustandard ist jedoch gleich.**Einkaufsmöglichkeiten, Ärzte und RestauraContact the advertiserContact"
"1663867475-16","https://www.immoscout24.ch/en/flat/rent/city-adliswil","1.5 rooms, 61 m², CHF 1960.—","Im Sihlhof 2, 8134 Adliswil, ZH","CHF 1960.—","«Wohnen im Sihlhof 2 - Singles aufgepasst!»","1.5 rooms, 61 m², CHF 1960.—Im Sihlhof 2, 8134 Adliswil, ZH«Wohnen im Sihlhof 2 - Singles aufgepasst!»Wir vermieten nach Vereinbarung diese moderne, möblierte 1.5 Zimmer-Wohnung in Adliswil.Hier einige Highlights der modernen Wohnung:- Movement-Möbelelemente- Offene Küche und Wohnbereich mit Electrolux Geräten- Bad mit Plattenboden, Dusche, WC und Lavabo- Parkett in den Wohn-/ Schlafräumen und in der Küche- Eigener Waschturm- Einstellplätze können dazugemietet werden (CHF 160.-/Monat)**Bilder sind nicht objektspezifisch, der Ausbaustandard ist jedoch gleich.**Haben wir Ihre Neugier geweckt? Wir freuen uns auf Ihre Anfrage!Contact the advertiserContact"
"1663867475-17","https://www.immoscout24.ch/en/flat/rent/city-adliswil","3.5 rooms, 71 m², CHF 1790.—","Zelgstrasse 48, 8134 Adliswil, ZH","CHF 1790.—","«Gemütlich 3.5-Zimmer-Wohnung in Adliswil»","3.5 rooms, 71 m², CHF 1790.—Zelgstrasse 48, 8134 Adliswil, ZH«Gemütlich 3.5-Zimmer-Wohnung in Adliswil»Wir vermieten per 16. Oktober 2022 oder nach Vereinbarung eine gemütliche 3.5 Zimmer-Wohnung an der Zelgstrasse 48 in 8134 Adliswil.Die Zimmer sind alle mit einem Parkettboden verlegt. Die Böden im Entrée, der Küche sowie den Nasszellen sind mit einem pflegeleichten Plattenboden versehen. Das Objekt verfügt zudem über einen praktischen Grundriss.Die Küche bietet ein Glaskeramikkochfeld, ein Geschirrspüler sowie einen grossen Kühlschrank mit separaten Gefrierfächern. Die Einrichtung bietet ausreichend Stauraum. Dazu verfügt die Küche über einen"
"1663867475-18","https://www.immoscout24.ch/en/flat/rent/city-adliswil","2.5 rooms, 69 m², CHF 1740.—","Feldblumenstrasse 94, 8134 Adliswil, ZH","CHF 1740.—","«2.5-Zimmerwohnung in Adliswil»","2.5 rooms, 69 m², CHF 1740.—Feldblumenstrasse 94, 8134 Adliswil, ZH«2.5-Zimmerwohnung in Adliswil»Wir vermieten per 01.10.2022 diese schöne 2.5-Zimmerwohnung in Adliswil. Die Wohnung bieten Ihnen folgendes:- Plattenboden im Bad/Korridor und in der Küche- Parkettboden im Wohn- und Schlafzimmer- Küche mit Geschirrspüler- modernes Badezimmer - grosszügiger Balkon - dazugehöriges KellerabteilWir freuen uns auf Ihre Kontaktanfrage."
"1663867475-19","https://www.immoscout24.ch/en/flat/rent/city-adliswil","2.5 rooms, 89 m², CHF 2620.—","Moosstrasse 25, 8134 Adliswil, ZH","CHF 2620.—","«HÖFE - Stadtnahes wohnen im Grünen»","2.5 rooms, 89 m², CHF 2620.—Moosstrasse 25, 8134 Adliswil, ZH«HÖFE - Stadtnahes wohnen im Grünen»Im neuen Quartier HÖFE in Adliswil entstehen im Hummelhof wunderschöne 2.5-Zimmer-Wohnungen. Die grosszügigen Wohnungen können nicht nur mit ihrem hochwertigen Innenausbau und der optimalen Raumaufteilung überzeugen. Folgende Highlights erwarten Sie in den urbanen Wohnungen:. Ausbaulinie URBAN mit Anhydritboden und Sichtbetondecke, Badezimmer mit keramischen Boden- und Wandbelägen. Loggia mit Ausrichtung in den wunderschönen Innenhof . Offene Küche mit hochwertigen Geräten. 1 Badezimmer mit bodenebener Dusche. Badezimmer auch vom Schlafzimmer a"
"1663867475-20","https://www.immoscout24.ch/en/flat/rent/city-adliswil","3.5 rooms, CHF 2710.—","Salamanderweg 2, 8134 Adliswil, ZH","CHF 2710.—","«Moderne Wohnungen mit spannenden Ausbaulinien»","3.5 rooms, CHF 2710.—Salamanderweg 2, 8134 Adliswil, ZH«Moderne Wohnungen mit spannenden Ausbaulinien»Sind Sie auf der Suche nach einer Wohnung, in dem sich das Leben in einer tollen Community und auf vielfältige Weise geniessen lässt? Dann sind Sie im urbanen Quartier HÖFE Adliswil genau richtig. Weitere Highlights sind die Autofreie Zonen, die schön gestalteten Innenhöfe und der wunderbare Quartierhain. All das schafft einen traumhaften Erholungsorte direkt vor der eigenen Haustüre, das ist Lebensqualität. Ihre Vorteile im HÖFE Quartier:. Urbanes Quartier mit Fitnesscenter, Supermarkt, Bars, Restaurants und vielen weiteren Angeboten. Wundersc"
"1663867475-21","https://www.immoscout24.ch/en/flat/rent/city-adliswil","4.5 rooms, CHF 3020.—","Salamanderweg 2, 8134 Adliswil, ZH","CHF 3020.—","«Nur noch wenige freie 4.5-Zimmer-Wohnungen»","4.5 rooms, CHF 3020.—Salamanderweg 2, 8134 Adliswil, ZH«Nur noch wenige freie 4.5-Zimmer-Wohnungen»Im pulsierendem Quartier HÖFE in Adliswil vermieten wir im Amselhof moderne 4.5-Zimmer-Wohnungen, wovon nur noch wenige frei sind. Die Wohnungen mit spannenden Ausbaulinien sind nicht nur ideal für Familien sondern auch für Paare.Die Vorteile der 4.5-Zimmer-Wohnungen. Ein oder zwei Loggien pro Wohnung. Helle Räume dank zweiseitiger Ausrichtung. Grosszügige Küche mit hochwertigen Geräten. Grosser offener Wohn-/Essbereich. Zwei Badezimmer mit Badewanne und bodenebener Dusche . Drei spannende Ausbaulinien: URBAN (Anhydritboden und Sichtbetondecke)"
"1663867475-22","https://www.immoscout24.ch/en/flat/rent/city-adliswil","2.5 rooms, 69 m², CHF 2170.—","Moosstrasse 23, 8134 Adliswil, ZH","CHF 2170.—","«2.5-Zimmer-Wohnung - Nur noch eine verfügbar!»","2.5 rooms, 69 m², CHF 2170.—Moosstrasse 23, 8134 Adliswil, ZH«2.5-Zimmer-Wohnung - Nur noch eine verfügbar!»Urbane Wohnung für Singles und PaareIm Amselhof vermieten wir eine 2.5-Zimmer-Wohnung mit spannendem Grundriss. Die urbane Wohnung überzeugt unter anderem mit einem hochwertigen Ausbaustandard und dem grosszügigen Wohn-/Essbereich.Die 2.5-Zimmer-Wohnung im Überblick:. Ausbaulinie URBAN mit Anhydritboden und Sichtbetondecke, Badezimmer mit keramischen Boden- und Wandbelägen. Loggia mit Ausrichtung in den wunderschönen Innenhof . Offene Küche mit hochwertigen Geräten. 1 Badezimmer mit bodenebener Dusche. Badezimmer auch vom Schlafzimmer aus zugän"
"1663867475-23","https://www.immoscout24.ch/en/flat/rent/city-adliswil","1 room, 22 m², CHF 770.—","Sihlmatten 6, 8134 Adliswil, ZH","CHF 770.—","«1 WG Zimmer 22'2m im grünen Adliswil mit Balkon per sofort»","1 room, 22 m², CHF 770.—Sihlmatten 6, 8134 Adliswil, ZH«1 WG Zimmer 22'2m im grünen Adliswil mit Balkon per sofort»"
